id,name,description,label,,
N1,Active_Listening_Enhancement,Active Listening Enhancement,Goal,,
N2,Help_Students_Improve_Attention,Help Students Improve Attention,Framework,,
N3,Help_Students_Improve_Comprehension,Help Students Improve Comprehension,Framework,,
N4,Help_Students_Respond_Better,Help Students Respond Better,Framework,,
N5,Help_Students_Improve_Empathy,Help Students Improve Empathy,Framework,,
N6,Non_Verbal_Teaching_Activities,Non-Verbal Teaching Activities,Framework,,
N7,Online_Technology,Online Technology,Framework,,
N8,Contextual_Introduction,Contextual Introduction,TeacherActivity,,
N9,Use_Vivid_Verbal_Language,Use Vivid Verbal Language,TeacherActivity,,
N10,Teachers_Body_Language,Teacher's Body Language,TeacherActivity,,
N11,Conduct_Game_Activities,Conduct Game Activities,TeacherActivity,,
N12,Timed_Task_Challenges,Timed Task Challenges,TeacherActivity,,
N13,Organize_Varied_Fun_Reading_Activities,Organize Varied Fun Reading Activities,TeacherActivity,,
N14,Conduct_Audiovisual_Activities,Conduct Audiovisual Activities,TeacherActivity,,
N15,Organize_Competitive_Activities,Organize Competitive Activities,TeacherActivity,,
N16,Encourage_Student_Movement,Encourage Student Movement,TeacherActivity,,
N17,Guide_Students_to_Identify_Key_Points,Guide Students to Identify Key Points,TeacherActivity,,
N18,Connect_to_Real_Life_Experiences,Connect to Real-Life Experiences,TeacherActivity,,
N19,Create_Contextual_Scenarios,Create Contextual Scenarios,TeacherActivity,,
N20,Use_Images_Videos_to_Support_Academic_Activities,Use Images/Videos to Support Academic Activities,TeacherActivity,,
N21,Guide_Oral_Expression,Guide Oral Expression,TeacherActivity,,
N22,Conduct_Writing_Activities,Conduct Writing Activities,TeacherActivity,,
N23,Pose_Questions_to_Guide_Word_Reflection,Pose Questions to Guide Word Reflection,TeacherActivity,,
N24,Conduct_Debate_Activities,Conduct Debate Activities,TeacherActivity,,
N25,Focus_on_Emotional_Analysis_Activities,Focus on Emotional Analysis Activities,TeacherActivity,,
N26,Conduct_Empathy_Activities,Conduct Empathy Activities,TeacherActivity,,
N27,Encourage_Evaluation_Activities,Encourage Evaluation Activities,TeacherActivity,,
N28,Organize_Group_Collaboration_Activities,Organize Group Collaboration Activities,TeacherActivity,,
N29,Teachers_Body_Language_for_Timely_Feedback,Teacher's Body Language for Timely Feedback,TeacherActivity,,
N30,Conduct_Drawing_Activities,Conduct Drawing Activities,TeacherActivity,,
N31,Conduct_Craft_Activities,Conduct Craft Activities,TeacherActivity,,
